company_id,company_name,ald_sector,ald_business_unit,activity_unit,ald_location,Equity Ownership 2022,Equity Ownership 2023,Equity Ownership 2024,Equity Ownership 2025,Equity Ownership 2026
1,company-1,Power,NuclearCap,MWh,BN,2527027207,NA,NA,22555063974,4142274325
1,company-1,Power,NuclearCap,MWh,NA,3413479402,1087587607,NA,NA,NA
1,company-1,Power,NuclearCap,MWh,FR,9147729919,599182675,31460810520,521880150,NA
2,company-2,Power,HydroCap,MWh,FR,13517623807,9604254186,11567766962,8326475509,13331257901
2,company-2,Power,HydroCap,MWh,KZ,8331937710,16753250382,5951191871,25518578299,NA
2,company-2,Power,HydroCap,MWh,BO,NA,18681792176,10245210609,NA,NA
2,company-2,Power,HydroCap,MWh,NL,10368047188,9000040472,4051217178,4137449756,8020025535
2,company-2,Power,HydroCap,MWh,BN,636854331,NA,NA,3864391345,28929407910
3,company-3,Cement,Integrated facility,t cement,NL,25834510930,6379421075,NA,NA,8047096499
3,company-3,Cement,Integrated facility,t cement,BN,7273644716,NA,4514887344,NA,423295802
3,company-3,Cement,Integrated facility,t cement,BO,3549373511,NA,NA,15765434411,NA
4,company-4,Power,OilCap,MW,BN,5260626448,1008740985,3258755375,10154049094,1097151373
4,company-4,Power,OilCap,MW,NL,NA,NA,1325194022,475529162,NA
4,company-4,Power,OilCap,MW,KZ,19846388222,6220949553,5790844396,NA,9129730017
4,company-4,Power,OilCap,MW,NA,1249190393,872633861,3364162394,4425920285,714244476
4,company-4,Power,OilCap,MW,FR,3976431657,NA,NA,30521068436,29185262850
5,company-5,Automotive,ICE,# vehicles,FR,11356020782,NA,4982537550,13158811311,217147428
5,company-5,Automotive,ICE,# vehicles,NA,21319639391,28589828928,NA,2098990172,3287602031
6,company-6,Automotive,Electric,# vehicles,KZ,NA,NA,30997577253,NA,315661378
6,company-6,Automotive,Electric,# vehicles,FR,NA,NA,39173005179,4310883250,8813250858
6,company-6,Automotive,Electric,# vehicles,NL,NA,NA,NA,11738521470,2210513723
6,company-6,Automotive,Electric,# vehicles,BO,NA,3088047446,2801094943,13534842315,397423430
7,company-7,Oil&Gas,Oil,GJ,NL,6916745627,55516108563,9908597867,1714809949,21525693515
8,company-8,Shipping,Passenger,dwt km,NL,3620239864,NA,NA,66855938075,8711702929
8,company-8,Shipping,Passenger,dwt km,FR,19272316948,13466697073,1053081310,NA,2755427344
9,company-9,Power,HydroCap,MWh,NA,NA,11292740535,NA,4194038870,NA
10,company-10,Power,NuclearCap,MWh,FR,27616368529,15728308573,7850339988,NA,1062443446
11,company-11,Automotive,Electric,# vehicles,KZ,NA,11245095610,18549381184,NA,6438500055
11,company-11,Automotive,Electric,# vehicles,FR,10143127820,NA,4111803132,16233260252,12156576302
12,company-12,Power,GasCap,MW,NL,3328313385,25415513968,NA,4379690610,NA
12,company-12,Power,GasCap,MW,BN,1080519531,1862517140,103037404,906474765,NA
13,company-13,Aviation,Freight,tkm,BO,131904279,1813732990,3369252464,NA,7486422222
13,company-13,Aviation,Freight,tkm,BN,2332883385,1377036904,NA,13398208,22042062202
13,company-13,Aviation,Freight,tkm,NA,NA,NA,4806553402,15008172590,NA
13,company-13,Aviation,Freight,tkm,FR,763720909,NA,NA,NA,44886950
14,company-14,Cement,Integrated facility,t cement,NA,23772136847,19498102703,NA,NA,6540880151
14,company-14,Cement,Integrated facility,t cement,NL,NA,NA,1300108071,21075941085,NA
15,company-15,Power,OilCap,MW,NA,NA,13461701595,NA,2122754092,8869367263
15,company-15,Power,OilCap,MW,FR,19425232716,22647270502,1377226511,13881917516,418052070
15,company-15,Power,OilCap,MW,NL,NA,10840272722,16783297474,NA,3158131219
15,company-15,Power,OilCap,MW,KZ,5780817652,15753464944,NA,4715742714,NA
15,company-15,Power,OilCap,MW,BN,2311428550,7311256163,30227105622,19870160270,33465283254
16,company-16,Oil&Gas,Gas,GJ,KZ,NA,NA,252215782,4541107987,5145640309
17,company-17,Coal,Coal,t coal,FR,16957214049,8285327415,NA,9832554009,6406535267
18,company-18,Automotive,ICE,# vehicles,BO,NA,NA,15530983366,153669212,6711696169
18,company-18,Automotive,ICE,# vehicles,NA,2935730873,3273842375,18816101807,NA,13965256022
19,company-19,Aviation,Freight,tkm,BN,NA,4521459497,13954852143,6210366458,16376772232
20,company-20,Power,OilCap,MW,FR,NA,4672555756,893625386,1622180985,3698135565
21,company-21,Aviation,Passenger,pkm,BO,7536337149,NA,NA,419012903,4129906410
21,company-21,Aviation,Passenger,pkm,KZ,638408007,5628085280,6890762664,NA,3131508941
22,company-22,Power,RenewablesCap,MWh,BN,NA,9838975398,17487241,1472105521,4318669007
22,company-22,Power,RenewablesCap,MWh,KZ,7049304877,2466739969,NA,5505333038,NA
22,company-22,Power,RenewablesCap,MWh,NL,628635636,698908015,NA,2391301908,NA
22,company-22,Power,RenewablesCap,MWh,FR,158275655,17502233681,23538019660,747631115,5097155993
22,company-22,Power,RenewablesCap,MWh,BO,27642604672,5366056162,15815920744,9740847237,1208007179
23,company-23,Automotive,Hybrid,# vehicles,FR,361053528,15705639418,15064800558,NA,NA
23,company-23,Automotive,Hybrid,# vehicles,NL,2554680798,NA,3367024081,27256252859,NA
23,company-23,Automotive,Hybrid,# vehicles,BN,NA,NA,NA,NA,NA
23,company-23,Automotive,Hybrid,# vehicles,BO,NA,NA,NA,13943180805,NA
23,company-23,Automotive,Hybrid,# vehicles,KZ,NA,NA,2564145419,NA,29459316291
24,company-24,Shipping,Passenger,dwt km,FR,17812798749,17645082482,52050174065,NA,NA
24,company-24,Shipping,Passenger,dwt km,BO,NA,17126335612,7742708037,2613024910,13850049119
24,company-24,Shipping,Passenger,dwt km,NA,NA,NA,NA,NA,NA
25,company-25,Shipping,Freight,dwt km,BO,NA,1262979620,763809924,NA,3364588918
25,company-25,Shipping,Freight,dwt km,FR,13436827370,7510660677,NA,NA,NA
25,company-25,Shipping,Freight,dwt km,KZ,213974732,10591749050,45170739715,13520320203,8113722945
25,company-25,Shipping,Freight,dwt km,NL,NA,4568088028,1343987535,37067218285,1517171007
26,company-26,Automotive,Electric,# vehicles,BN,9982548533,7022517894,9772493409,2684747463,842549739
26,company-26,Automotive,Electric,# vehicles,NA,NA,15103088393,629497680,NA,15895783957
26,company-26,Automotive,Electric,# vehicles,BO,11853802405,NA,NA,15868285379,8123987714
26,company-26,Automotive,Electric,# vehicles,FR,14228475005,136507626,3103466959,2653637454,5867998547
26,company-26,Automotive,Electric,# vehicles,KZ,19108145453,4620094561,2246148347,12552013703,15082553471
27,company-27,Power,RenewablesCap,MWh,KZ,1129033978,NA,1720282761,11157898921,NA
28,company-28,Power,RenewablesCap,MWh,KZ,10492017413,NA,5672011206,NA,1231635812
28,company-28,Power,RenewablesCap,MWh,NL,13233605778,1717604964,33537410218,3847813057,19629246719
28,company-28,Power,RenewablesCap,MWh,NA,19340163333,19968250638,NA,7619320780,NA
28,company-28,Power,RenewablesCap,MWh,BN,8924173846,9171581185,28646538367,9564452985,NA
29,company-29,Automotive,Electric,# vehicles,BN,4370471774,5529118554,10217926110,NA,1940049670
29,company-29,Automotive,Electric,# vehicles,BO,10647473050,1006389757,NA,16507563442,690445478
29,company-29,Automotive,Electric,# vehicles,NA,18498579981,7723636281,NA,2865473057,5516413674
29,company-29,Automotive,Electric,# vehicles,NL,NA,3486670146,8182611111,NA,6395060797
30,company-30,Oil&Gas,Oil,GJ,BO,9766835805,2274793518,1716462929,8642173554,NA
31,company-31,Cement,Integrated facility,t cement,FR,712202161,4943891488,NA,1975946450,NA
31,company-31,Cement,Integrated facility,t cement,NA,161130895,NA,15698680885,NA,13164307503
31,company-31,Cement,Integrated facility,t cement,KZ,21344063566,9472926363,27917249459,11651716178,750989689
31,company-31,Cement,Integrated facility,t cement,NL,17894414918,8385686203,5048621083,17920510062,5008088890
31,company-31,Cement,Integrated facility,t cement,BN,1356336979,NA,2369689645,NA,4730989921
32,company-32,Power,CoalCap,MW,NA,37068226157,NA,11639773063,53851940545,23457383667
32,company-32,Power,CoalCap,MW,KZ,5851611515,25222979524,27922858125,13121706248,30192273275
32,company-32,Power,CoalCap,MW,BN,NA,7578890538,NA,NA,6214685787
33,company-33,Power,OilCap,MW,NA,678131238,661720579,3420579834,17162354418,NA
33,company-33,Power,OilCap,MW,KZ,NA,NA,NA,4859859646,1982000682
33,company-33,Power,OilCap,MW,BN,10694106958,3973835179,7549617777,2566368285,1292185795
34,company-34,Power,NuclearCap,MW,BN,5593581538,2449422629,9323146959,13381489016,4718225392
35,company-35,Power,RenewablesCap,MWh,NL,NA,6078272619,2496440270,NA,791554367
35,company-35,Power,RenewablesCap,MWh,NA,NA,3214032939,5753779672,NA,NA
36,company-36,Automotive,FuelCell,# vehicles,BO,46356811448,1519265095,25670137664,22160742246,4759029232
36,company-36,Automotive,FuelCell,# vehicles,BN,1350862173,22542279258,2009980027,1503023639,15550615763
36,company-36,Automotive,FuelCell,# vehicles,FR,9078820882,3531121709,NA,NA,80027708966
36,company-36,Automotive,FuelCell,# vehicles,NL,NA,NA,NA,8934868519,1320960759
37,company-37,Power,NuclearCap,MW,FR,NA,45122305414,2138061143,1657759700,4789416564
37,company-37,Power,NuclearCap,MW,NA,6738095228,NA,4612711136,4236267425,NA
37,company-37,Power,NuclearCap,MW,BN,NA,2422364168,3782095119,NA,6074290091
37,company-37,Power,NuclearCap,MW,BO,NA,11979185687,4560496014,2281808567,NA
37,company-37,Power,NuclearCap,MW,KZ,NA,3713015636,22393794515,16820695136,NA
38,company-38,Power,CoalCap,MW,FR,NA,42397684070,NA,5263365353,8887803046
38,company-38,Power,CoalCap,MW,NA,NA,4071603823,NA,NA,NA
38,company-38,Power,CoalCap,MW,BN,7749734624,NA,12018877692,4618791139,NA
38,company-38,Power,CoalCap,MW,NL,11257051560,21023864955,5832570058,14268162537,NA
38,company-38,Power,CoalCap,MW,KZ,NA,3153274365,17563003471,621909422,NA
39,company-39,Power,OilCap,MW,BO,NA,NA,26049654191,NA,NA
39,company-39,Power,OilCap,MW,KZ,15773888021,1223986301,NA,NA,6026162651
40,company-40,Power,HydroCap,MWh,KZ,NA,10596478953,9438746008,14680594251,858825852
40,company-40,Power,HydroCap,MWh,BO,NA,13319508291,3122820698,11367174711,2995143482
40,company-40,Power,HydroCap,MWh,FR,19191759070,NA,17492458814,7296878642,749497387
41,company-41,Power,NuclearCap,MWh,NA,4712425589,14640426953,40457934244,3530205890,9412280384
41,company-41,Power,NuclearCap,MWh,FR,7963337736,24825249479,4499240062,2790182652,22065078266
41,company-41,Power,NuclearCap,MWh,KZ,12931643058,10753539822,NA,22424351499,7646345280
41,company-41,Power,NuclearCap,MWh,BN,NA,14602079289,13814686902,3494090149,5928998279
41,company-41,Power,NuclearCap,MWh,BO,NA,16783438553,11974687396,11711620239,7671980210
42,company-42,Automotive,Hybrid,# vehicles,FR,784437308,8170707896,NA,51681776921,5068774255
