company_id,company_name,ald_sector,ald_business_unit,ald_location,activity_unit,Equity Ownership 2022,Equity Ownership 2023,Equity Ownership 2024,Equity Ownership 2025,Equity Ownership 2026
1,company-1,Power,NuclearCap,BN,tCO2e,1722,9306,51964,44985,21514
1,company-1,Power,NuclearCap,NA,tCO2e,299062,121208,30115,69207,70674
1,company-1,Power,NuclearCap,FR,tCO2e,2391,9064,26833,345516,136210
2,company-2,Power,HydroCap,FR,tCO2e,75008,122374,74761,250499,50831
2,company-2,Power,HydroCap,KZ,tCO2e,139144,122220,143882,NA,12083
2,company-2,Power,HydroCap,BO,tCO2e,13727,NA,12009,4685,10322
2,company-2,Power,HydroCap,NL,tCO2e,116277,29143,7517,26027,14069
2,company-2,Power,HydroCap,BN,tCO2e,17062,17973,14247,329751,100675
3,company-3,Cement,Integrated facility,NL,tCO2e,NA,145760,32142,100676,NA
3,company-3,Cement,Integrated facility,BN,tCO2e,3452,57484,12905,28871,19985
3,company-3,Cement,Integrated facility,BO,tCO2e,369284,113670,NA,96005,16406
4,company-4,Power,OilCap,BN,tCO2e,251840,456145,10581,34542,NA
4,company-4,Power,OilCap,NL,tCO2e,148968,1253,7135,NA,37925
4,company-4,Power,OilCap,KZ,tCO2e,NA,NA,139572,NA,121776
4,company-4,Power,OilCap,NA,tCO2e,58979,269187,49867,40276,113744
4,company-4,Power,OilCap,FR,tCO2e,5779,26419,115847,155661,7573
5,company-5,Automotive,ICE,FR,tCO2,NA,100452,90624,113062,271844
5,company-5,Automotive,ICE,NA,tCO2,216,NA,73449,315761,160318
6,company-6,Automotive,Electric,KZ,tCO2,NA,85525,36979,75014,65095
6,company-6,Automotive,Electric,FR,tCO2,14507,10652,43989,192755,45922
6,company-6,Automotive,Electric,NL,tCO2,3008,NA,74608,305704,NA
6,company-6,Automotive,Electric,BO,tCO2,120992,NA,13702,28856,NA
7,company-7,Oil&Gas,Oil,NL,tCO2e,16497,30187,130148,16083,54651
8,company-8,Shipping,Passenger,NL,tCO2,NA,183079,70133,15711,NA
8,company-8,Shipping,Passenger,FR,tCO2,135473,98616,38692,608109,265971
9,company-9,Power,HydroCap,NA,tCO2e,44528,178184,106619,185499,38876
10,company-10,Power,NuclearCap,FR,tCO2e,368665,18084,26813,252543,135375
11,company-11,Automotive,Electric,KZ,tCO2,NA,2003,244061,NA,161465
11,company-11,Automotive,Electric,FR,tCO2,314879,164926,NA,NA,9476
12,company-12,Power,GasCap,NL,tCO2e,NA,132233,NA,92016,74233
12,company-12,Power,GasCap,BN,tCO2e,28860,NA,15640,35305,46149
13,company-13,Aviation,Freight,BO,tCO2,123632,73569,124073,322687,54017
13,company-13,Aviation,Freight,BN,tCO2,NA,71891,7441,81377,NA
13,company-13,Aviation,Freight,NA,tCO2,79273,287360,NA,40163,13703
13,company-13,Aviation,Freight,FR,tCO2,NA,91590,NA,NA,30898
14,company-14,Cement,Integrated facility,NA,tCO2e,1772,29000,234792,NA,78551
14,company-14,Cement,Integrated facility,NL,tCO2e,3365,9517,66411,NA,NA
15,company-15,Power,OilCap,NA,tCO2e,16697,355903,1148,85057,NA
15,company-15,Power,OilCap,FR,tCO2e,164829,NA,158477,NA,15610
15,company-15,Power,OilCap,NL,tCO2e,NA,NA,27598,34715,64366
15,company-15,Power,OilCap,KZ,tCO2e,20441,63254,27235,13550,7089
15,company-15,Power,OilCap,BN,tCO2e,227844,99207,11805,31701,153744
16,company-16,Oil&Gas,Gas,KZ,tCO2e,599610,46857,195012,108919,85141
17,company-17,Coal,Coal,FR,tCO2e,2117,NA,126975,304966,137400
18,company-18,Automotive,ICE,BO,tCO2,187009,25270,34034,56045,32010
18,company-18,Automotive,ICE,NA,tCO2,NA,117541,58274,87539,161525
19,company-19,Aviation,Freight,BN,tCO2,20365,44061,NA,158290,65394
20,company-20,Power,OilCap,FR,tCO2e,164282,18667,7429,NA,194679
21,company-21,Aviation,Passenger,BO,tCO2,29094,716,28579,31127,55997
21,company-21,Aviation,Passenger,KZ,tCO2,167421,311706,96441,139189,274003
22,company-22,Power,RenewablesCap,BN,tCO2e,25109,147567,72419,489498,69757
22,company-22,Power,RenewablesCap,KZ,tCO2e,23557,7,NA,720,24288
22,company-22,Power,RenewablesCap,NL,tCO2e,57458,12627,27667,182505,56827
22,company-22,Power,RenewablesCap,FR,tCO2e,233543,NA,25400,19080,133377
22,company-22,Power,RenewablesCap,BO,tCO2e,52080,246758,25402,54283,246789
23,company-23,Automotive,Hybrid,FR,tCO2,66239,97920,316827,NA,81909
23,company-23,Automotive,Hybrid,NL,tCO2,10473,254443,60510,NA,15108
23,company-23,Automotive,Hybrid,BN,tCO2,49972,64907,NA,306403,29254
23,company-23,Automotive,Hybrid,BO,tCO2,242013,51507,198770,32434,344772
23,company-23,Automotive,Hybrid,KZ,tCO2,NA,536,247646,NA,10016
24,company-24,Shipping,Passenger,FR,tCO2,151083,44322,32115,84219,616206
24,company-24,Shipping,Passenger,BO,tCO2,74653,89238,NA,33438,NA
