scenario_name,company_name,year,scenario_geography,ald_sector,ald_business_unit,production_plan_company_technology,phase_out,production_baseline_scenario,production_target_scenario,production_shock_scenario,company_id,pd,net_profit_margin,debt_equity_ratio,volatility,price_baseline_scenario,price_shock_scenario,net_profits_baseline_scenario,net_profits_shock_scenario,discounted_net_profits_baseline_scenario,discounted_net_profits_shock_scenario,baseline_scenario_arg,shock_scenario_arg,lgd_arg,risk_free_rate_arg,discount_rate_arg,growth_rate_arg,div_netprofit_prop_coef_arg,shock_year_arg,scenario_geography_arg,start_year_arg,carbon_price_model_arg,market_passthrough_arg,financial_stimulus_arg,end_year_arg,run_id
Carbon balance 2030,company-1,2022,Global,Power,NuclearCap,93478930231619.98,FALSE,93478930231619.98,93743653758159.58,93478930231619.98,1,0.524318751995452,0.493183115497231,0.495982220512815,0.498119010415394,108.47457627118644,108.47457627118644,5000919869285818,5000919869285818,5000919869285818,5000919869285818,WEO2021_STEPS,WEO2021_SDS,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,2040,4ca897da-5c0b-4f2d-9af4-a99c2b177751
Carbon balance 2030,company-1,2023,Global,Power,NuclearCap,428801922716577.94,FALSE,428801922716577.94,94132211045980.69,428801922716577.94,1,0.524318751995452,0.493183115497231,0.495982220512815,0.498119010415394,109.3287067930068,109.3287067930068,23120601843085792,23120601843085792,21608039105687656,21608039105687656,WEO2021_STEPS,WEO2021_SDS,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,2040,4ca897da-5c0b-4f2d-9af4-a99c2b177751
Carbon balance 2030,company-1,2024,Global,Power,NuclearCap,435819296502219.44,FALSE,435819296502219.44,94516228969326.73,435819296502219.44,1,0.524318751995452,0.493183115497231,0.495982220512815,0.498119010415394,110.19639494215764,110.19639494215764,23685471905881368,23685471905881368,20687808460023904,20687808460023904,WEO2021_STEPS,WEO2021_SDS,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,2040,4ca897da-5c0b-4f2d-9af4-a99c2b177751
Carbon balance 2030,company-1,2025,Global,Power,NuclearCap,370302161777582.56,FALSE,370302161777582.56,94895833152134.45,370302161777582.56,1,0.524318751995452,0.493183115497231,0.495982220512815,0.498119010415394,111.07796610169493,111.07796610169493,20285810591731816,20285810591731816,16559264117040638,16559264117040638,WEO2021_STEPS,WEO2021_SDS,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,2040,4ca897da-5c0b-4f2d-9af4-a99c2b177751
Carbon balance 2030,company-1,2026,Global,Power,NuclearCap,149883571348346.78,FALSE,149883571348346.78,95712518981042.84,149883571348346.78,1,0.524318751995452,0.493183115497231,0.495982220512815,0.498119010415394,111.97375615090212,111.97375615090212,8277105281545704,8277105281545704,6314563988904500,6314563988904500,WEO2021_STEPS,WEO2021_SDS,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,2040,4ca897da-5c0b-4f2d-9af4-a99c2b177751
Carbon balance 2030,company-1,2027,Global,Power,NuclearCap,151100229245503.47,FALSE,151100229245503.47,96494826065771.77,151100229245503.47,1,0.524318751995452,0.493183115497231,0.495982220512815,0.498119010415394,112.88411189196638,112.88411189196638,8412133253424021,8412133253424021,5997734749666313,5997734749666313,WEO2021_STEPS,WEO2021_SDS,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,2040,4ca897da-5c0b-4f2d-9af4-a99c2b177751
Carbon balance 2030,company-1,2028,Global,Power,NuclearCap,NA,FALSE,151913668479693.16,97245318686225.23,151850721865956.94,1,0.524318751995452,0.493183115497231,0.495982220512815,0.498119010415394,113.80939149763825,113.80939149763825,8526742590587037,8523209468270597,5681728619722736,5679374351141383,WEO2021_STEPS,WEO2021_SDS,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,2040,4ca897da-5c0b-4f2d-9af4-a99c2b177751
Carbon balance 2030,company-1,2029,Global,Power,NuclearCap,NA,FALSE,152712687306110.8,97966312285995.125,152571715465726.8,1,0.524318751995452,0.493183115497231,0.495982220512815,0.498119010415394,114.7499649810898,114.7499649810898,8642430206496165,8634452223048347,5382071180351079,5377102893218191,WEO2021_STEPS,WEO2021_SDS,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,2040,4ca897da-5c0b-4f2d-9af4-a99c2b177751
Carbon balance 2030,company-1,2030,Global,Power,NuclearCap,NA,FALSE,153497722931037.44,98659902941126.67,153265306120858.38,1,0.524318751995452,0.493183115497231,0.495982220512815,0.498119010415394,115.70621468926554,115.70621468926554,8759248007012931,8745985292475647,5097962089224692,5090243068612745,WEO2021_STEPS,WEO2021_SDS,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,2040,4ca897da-5c0b-4f2d-9af4-a99c2b177751
Carbon balance 2030,company-1,2031,Global,Power,NuclearCap,NA,FALSE,153852722656336.9,99208605578269.89,153814008758001.6,1,0.524318751995452,0.493183115497231,0.495982220512815,0.498119010415394,116.10937223173684,115.86918118882788,8810096448768868,8789659042250752,4792108733906160,4780992138890048,WEO2021_STEPS,WEO2021_SDS,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,2040,4ca897da-5c0b-4f2d-9af4-a99c2b177751
Carbon balance 2030,company-1,2032,Global,Power,NuclearCap,NA,FALSE,154203668820305.94,99746101753239.55,154351504932971.25,1,0.524318751995452,0.493183115497231,0.495982220512815,0.498119010415394,116.51534905772192,116.03214768839022,8861067542605873,8832779702165522,4504517412841617,4490137309177744.5,WEO2021_STEPS,WEO2021_SDS,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,2040,4ca897da-5c0b-4f2d-9af4-a99c2b177751
