scenario_name,company_name,year,scenario_geography,ald_sector,ald_business_unit,production_plan_company_technology,phase_out,production_baseline_scenario,production_target_scenario,production_shock_scenario,company_id,pd,net_profit_margin,debt_equity_ratio,volatility,price_baseline_scenario,price_shock_scenario,net_profits_baseline_scenario,net_profits_shock_scenario,discounted_net_profits_baseline_scenario,discounted_net_profits_shock_scenario,baseline_scenario_arg,shock_scenario_arg,lgd_arg,risk_free_rate_arg,discount_rate_arg,growth_rate_arg,div_netprofit_prop_coef_arg,shock_year_arg,scenario_geography_arg,start_year_arg,carbon_price_model_arg,market_passthrough_arg,financial_stimulus_arg,run_id
Carbon balance 2030,company-1,2022,Global,Power,OilCap,41306744636494.87,FALSE,41306744636494.87,39283854909150.02,41306744636494.87,1,0.656430346891284,0.7375227111624555,0.6101699584396555,0.626966798212379,102.54237288135592,102.54237288135592,3123918760615213,3123918760615213,3123918760615213,3123918760615213,WEO2021_STEPS,WEO2021_SDS,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,aa7dbb70-aed7-4451-8635-ea01191641a6
Carbon balance 2030,company-1,2023,Global,Power,OilCap,52504740105896.4,FALSE,52504740105896.4,36077282389748.52,52504740105896.4,1,0.656430346891284,0.7375227111624555,0.6101699584396555,0.626966798212379,100.73851517167036,100.73851517167036,3900941673841032.5,3900941673841032.5,3645739882094422.5,3645739882094422.5,WEO2021_STEPS,WEO2021_SDS,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,aa7dbb70-aed7-4451-8635-ea01191641a6
Carbon balance 2030,company-1,2024,Global,Power,OilCap,39979914219756.12,FALSE,39979914219756.12,32806500070784.59,39979914219756.12,1,0.656430346891284,0.7375227111624555,0.6101699584396555,0.626966798212379,98.9970248827984,98.9970248827984,2919035653424665.5,2919035653424665.5,2549598788911403,2549598788911403,WEO2021_STEPS,WEO2021_SDS,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,aa7dbb70-aed7-4451-8635-ea01191641a6
Carbon balance 2030,company-1,2025,Global,Power,OilCap,35159888128407.883,FALSE,35159888128407.883,29456719523292.1,35159888128407.883,1,0.656430346891284,0.7375227111624555,0.6101699584396555,0.626966798212379,97.31472249916916,97.31472249916916,2523489090724555.5,2523489090724555.5,2059918787115681,2059918787115681,WEO2021_STEPS,WEO2021_SDS,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,aa7dbb70-aed7-4451-8635-ea01191641a6
Carbon balance 2030,company-1,2026,Global,Power,OilCap,63168955736745.46,FALSE,63168955736745.46,26965990416178.074,63168955736745.46,1,0.656430346891284,0.7375227111624555,0.6101699584396555,0.626966798212379,95.68864101782056,95.68864101782056,4457994031402719,4457994031402719,3400982301893578.5,3400982301893578.5,WEO2021_STEPS,WEO2021_SDS,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,aa7dbb70-aed7-4451-8635-ea01191641a6
Carbon balance 2030,company-1,2027,Global,Power,OilCap,63162498634116.48,FALSE,63162498634116.48,24509516891599.992,63162498634116.48,1,0.656430346891284,0.7375227111624555,0.6101699584396555,0.626966798212379,94.11600848529002,94.11600848529002,4384279173660563,4384279173660563,3125930457818059,3125930457818059,WEO2021_STEPS,WEO2021_SDS,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,aa7dbb70-aed7-4451-8635-ea01191641a6
Carbon balance 2030,company-1,2028,Global,Power,OilCap,NA,FALSE,61631863440842.88,22091403965396.688,61631863440842.88,1,0.656430346891284,0.7375227111624555,0.6101699584396555,0.626966798212379,92.59423222868708,92.59423222868708,4208861475686127,4208861475686127,2804542115444341.5,2804542115444341.5,WEO2021_STEPS,WEO2021_SDS,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,aa7dbb70-aed7-4451-8635-ea01191641a6
Carbon balance 2030,company-1,2029,Global,Power,OilCap,NA,FALSE,60101304421814.19,19716439842511.18,60101304421814.19,1,0.656430346891284,0.7375227111624555,0.6101699584396555,0.626966798212379,91.1208845922453,91.1208845922453,4039031345065211,4039031345065211,2515305727603132.5,2515305727603132.5,WEO2021_STEPS,WEO2021_SDS,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,aa7dbb70-aed7-4451-8635-ea01191641a6
Carbon balance 2030,company-1,2030,Global,Power,OilCap,NA,FALSE,58570829998228.41,17390244214341.46,49495990151088.95,1,0.656430346891284,0.7375227111624555,0.6101699584396555,0.626966798212379,89.69369001429446,89.69369001429446,3874526790524080.5,3274215848908249,2255009867966171.5,1905623434375746.5,WEO2021_STEPS,WEO2021_SDS,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,aa7dbb70-aed7-4451-8635-ea01191641a6
Carbon balance 2030,company-1,2031,Global,Power,OilCap,NA,FALSE,58028814596501.93,16575552620333.69,38890675880363.73,1,0.656430346891284,0.7375227111624555,0.6101699584396555,0.626966798212379,89.15660205013701,88.41421429597864,3815685798335339,2535963398731012.5,2075480256813722.8,1379396062528175.2,WEO2021_STEPS,WEO2021_SDS,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,aa7dbb70-aed7-4451-8635-ea01191641a6
