scenario_name,company_name,year,scenario_geography,ald_sector,ald_business_unit,production_plan_company_technology,phase_out,production_baseline_scenario,production_target_scenario,production_shock_scenario,company_id,pd,net_profit_margin,debt_equity_ratio,volatility,price_baseline_scenario,price_shock_scenario,net_profits_baseline_scenario,net_profits_shock_scenario,discounted_net_profits_baseline_scenario,discounted_net_profits_shock_scenario,baseline_scenario_arg,shock_scenario_arg,lgd_arg,risk_free_rate_arg,discount_rate_arg,growth_rate_arg,div_netprofit_prop_coef_arg,shock_year_arg,scenario_geography_arg,start_year_arg,carbon_price_model_arg,market_passthrough_arg,financial_stimulus_arg,run_id
Carbon balance 2030,company-1,2022,Global,Power,OilCap,69806303874009.625,FALSE,69806303874009.625,69806303874009.625,69806303874009.625,1,0.656430346891284,0.7375227111624555,0.6101699584396555,0.626966798212379,62.85369299435028,62.85369299435028,3235942841798750,3235942841798750,3235942841798750,3235942841798750,NGFS2023MESSAGE_NDC,NGFS2023MESSAGE_B2DS,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,9176c381-db3f-4969-a490-d67feb310228
Carbon balance 2030,company-1,2023,Global,Power,OilCap,76059881218253.53,FALSE,76059881218253.53,55162781439013.77,76059881218253.53,1,0.656430346891284,0.7375227111624555,0.6101699584396555,0.626966798212379,62.13181824430379,62.13181824430379,3485339629727390.5,3485339629727390.5,3257326756754570.5,3257326756754570.5,NGFS2023MESSAGE_NDC,NGFS2023MESSAGE_B2DS,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,9176c381-db3f-4969-a490-d67feb310228
Carbon balance 2030,company-1,2024,Global,Power,OilCap,46564937124753.65,FALSE,46564937124753.65,40519259004017.914,46564937124753.65,1,0.656430346891284,0.7375227111624555,0.6101699584396555,0.626966798212379,61.54106547561286,61.54106547561286,2113486267666342.2,2113486267666342.2,1846000757853386.5,1846000757853386.5,NGFS2023MESSAGE_NDC,NGFS2023MESSAGE_B2DS,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,9176c381-db3f-4969-a490-d67feb310228
Carbon balance 2030,company-1,2025,Global,Power,OilCap,28952537847858.402,FALSE,28952537847858.402,25875736569022.066,28952537847858.402,1,0.656430346891284,0.7375227111624555,0.6101699584396555,0.626966798212379,61.05673416017218,61.05673416017218,1303753859994805.2,1303753859994805.2,1064251507902012.5,1064251507902012.5,NGFS2023MESSAGE_NDC,NGFS2023MESSAGE_B2DS,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,9176c381-db3f-4969-a490-d67feb310228
Carbon balance 2030,company-1,2026,Global,Power,OilCap,48850852531400.55,FALSE,48850852531400.55,22914122395896.48,48850852531400.55,1,0.656430346891284,0.7375227111624555,0.6101699584396555,0.626966798212379,60.65905294306617,60.65905294306617,2185461555658428.2,2185461555658428.2,1667278156925750.8,1667278156925750.8,NGFS2023MESSAGE_NDC,NGFS2023MESSAGE_B2DS,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,9176c381-db3f-4969-a490-d67feb310228
Carbon balance 2030,company-1,2027,Global,Power,OilCap,45320936411328.09,FALSE,45320936411328.09,19952508222770.902,45320936411328.09,1,0.656430346891284,0.7375227111624555,0.6101699584396555,0.626966798212379,60.33211157474872,60.33211157474872,2016614096085722.5,2016614096085722.5,1437817979861070.2,1437817979861070.2,NGFS2023MESSAGE_NDC,NGFS2023MESSAGE_B2DS,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,9176c381-db3f-4969-a490-d67feb310228
Carbon balance 2030,company-1,2028,Global,Power,OilCap,NA,FALSE,42507882977842.16,16990894049645.324,42507882977842.16,1,0.656430346891284,0.7375227111624555,0.6101699584396555,0.626966798212379,60.06304909395892,60.06304909395892,1883008368430534.5,1883008368430534.5,1254727983685105,1254727983685105,NGFS2023MESSAGE_NDC,NGFS2023MESSAGE_B2DS,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,9176c381-db3f-4969-a490-d67feb310228
Carbon balance 2030,company-1,2029,Global,Power,OilCap,NA,FALSE,39694829544356.21,14029279876519.744,39694829544356.21,1,0.656430346891284,0.7375227111624555,0.6101699584396555,0.626966798212379,59.84142992890016,59.84142992890016,1751908026519626.5,1751908026519626.5,1091000271320640.5,1091000271320640.5,NGFS2023MESSAGE_NDC,NGFS2023MESSAGE_B2DS,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,9176c381-db3f-4969-a490-d67feb310228
Carbon balance 2030,company-1,2030,Global,Power,OilCap,NA,FALSE,36881776110870.27,11067665703394.162,35668320027824.555,1,0.656430346891284,0.7375227111624555,0.6101699584396555,0.626966798212379,59.65875950917725,59.65875950917725,1622786717659365.8,1569395026106605.2,944476644444965,913402193853130.1,NGFS2023MESSAGE_NDC,NGFS2023MESSAGE_B2DS,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,9176c381-db3f-4969-a490-d67feb310228
Carbon balance 2030,company-1,2031,Global,Power,OilCap,NA,FALSE,34914977009034.43,8965012606770.992,31641810511292.9,1,0.656430346891284,0.7375227111624555,0.6101699584396555,0.626966798212379,59.50810476520781,59.61643268170505,1532368718454520.5,1391242093074804.5,833507052047841.6,756743518526781.75,NGFS2023MESSAGE_NDC,NGFS2023MESSAGE_B2DS,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,9176c381-db3f-4969-a490-d67feb310228
