scenario_name,company_name,year,scenario_geography,ald_sector,ald_business_unit,production_plan_company_technology,phase_out,production_baseline_scenario,production_target_scenario,production_shock_scenario,company_id,pd,net_profit_margin,debt_equity_ratio,volatility,price_baseline_scenario,price_shock_scenario,net_profits_baseline_scenario,net_profits_shock_scenario,discounted_net_profits_baseline_scenario,discounted_net_profits_shock_scenario,baseline_scenario_arg,shock_scenario_arg,lgd_arg,risk_free_rate_arg,discount_rate_arg,growth_rate_arg,div_netprofit_prop_coef_arg,shock_year_arg,scenario_geography_arg,start_year_arg,carbon_price_model_arg,market_passthrough_arg,financial_stimulus_arg,run_id
Carbon balance 2030,company-1,2022,Global,Power,OilCap,41306744636494.87,FALSE,41306744636494.87,39283854909150.02,41306744636494.87,1,0.656430346891284,0.7375227111624555,0.6101699584396555,0.626966798212379,62.85369299435028,62.85369299435028,1914816530978676.5,1914816530978676.5,1914816530978676.5,1914816530978676.5,Oxford2021_base,Oxford2021_fast,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,cb39d917-cc55-48e7-82c7-8e8ea682cc8e
Carbon balance 2030,company-1,2023,Global,Power,OilCap,52504740105896.4,FALSE,52504740105896.4,40107999062578.39,52504740105896.4,1,0.656430346891284,0.7375227111624555,0.6101699584396555,0.626966798212379,62.13181824430379,62.13181824430379,2405957628496803,2405957628496803,2248558531305423.2,2248558531305423.2,Oxford2021_base,Oxford2021_fast,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,cb39d917-cc55-48e7-82c7-8e8ea682cc8e
Carbon balance 2030,company-1,2024,Global,Power,OilCap,39979914219756.12,FALSE,39979914219756.12,40135989358938.84,39979914219756.12,1,0.656430346891284,0.7375227111624555,0.6101699584396555,0.626966798212379,61.54106547561286,61.54106547561286,1814605686238858.2,1814605686238858.2,1584946882905806.8,1584946882905806.8,Oxford2021_base,Oxford2021_fast,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,cb39d917-cc55-48e7-82c7-8e8ea682cc8e
Carbon balance 2030,company-1,2025,Global,Power,OilCap,35159888128407.883,FALSE,35159888128407.883,39128184072568.516,35159888128407.883,1,0.656430346891284,0.7375227111624555,0.6101699584396555,0.626966798212379,61.05673416017218,61.05673416017218,1583275362777499.8,1583275362777499.8,1292424317168866.5,1292424317168866.5,Oxford2021_base,Oxford2021_fast,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,cb39d917-cc55-48e7-82c7-8e8ea682cc8e
Carbon balance 2030,company-1,2026,Global,Power,OilCap,63168955736745.46,FALSE,63168955736745.46,38498819207767.37,63168955736745.46,1,0.656430346891284,0.7375227111624555,0.6101699584396555,0.626966798212379,60.65905294306617,60.65905294306617,2826016683844108,2826016683844108,2155954597271094.5,2155954597271094.5,Oxford2021_base,Oxford2021_fast,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,cb39d917-cc55-48e7-82c7-8e8ea682cc8e
Carbon balance 2030,company-1,2027,Global,Power,OilCap,63162498634116.48,FALSE,63162498634116.48,36915218244021.92,63162498634116.48,1,0.656430346891284,0.7375227111624555,0.6101699584396555,0.626966798212379,60.33211157474872,60.33211157474872,2810497645801442.5,2810497645801442.5,2003845978927814.2,2003845978927814.2,Oxford2021_base,Oxford2021_fast,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,cb39d917-cc55-48e7-82c7-8e8ea682cc8e
Carbon balance 2030,company-1,2028,Global,Power,OilCap,NA,FALSE,64125138591382.79,35427500384416.05,64125138591382.79,1,0.656430346891284,0.7375227111624555,0.6101699584396555,0.626966798212379,60.06304909395892,60.06304909395892,2840606591894574.5,2840606591894574.5,1892816113430875,1892816113430875,Oxford2021_base,Oxford2021_fast,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,cb39d917-cc55-48e7-82c7-8e8ea682cc8e
Carbon balance 2030,company-1,2029,Global,Power,OilCap,NA,FALSE,65106532419459.305,34416525411307.797,65106532419459.305,1,0.656430346891284,0.7375227111624555,0.6101699584396555,0.626966798212379,59.84142992890016,59.84142992890016,2873438632531629.5,2873438632531629.5,1789433166730284.2,1789433166730284.2,Oxford2021_base,Oxford2021_fast,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,cb39d917-cc55-48e7-82c7-8e8ea682cc8e
Carbon balance 2030,company-1,2030,Global,Power,OilCap,NA,FALSE,66106993310989.75,33407651557969.12,60074241716830.2,1,0.656430346891284,0.7375227111624555,0.6101699584396555,0.626966798212379,59.65875950917725,59.65875950917725,2908687216336430,2643248015997727.5,1692882442239739.2,1538394410934151.2,Oxford2021_base,Oxford2021_fast,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,cb39d917-cc55-48e7-82c7-8e8ea682cc8e
Carbon balance 2030,company-1,2031,Global,Power,OilCap,NA,FALSE,67161065506005.27,32988332068710.27,55041951014201.1,1,0.656430346891284,0.7375227111624555,0.6101699584396555,0.626966798212379,59.50810476520781,59.61643268170505,2947603713238805,2420110540406275,1603301119396914.5,1316379783710529.8,Oxford2021_base,Oxford2021_fast,0.45,0.02,0.07,0.03,1,2030,Global,2022,no_carbon_tax,0,1,cb39d917-cc55-48e7-82c7-8e8ea682cc8e
