portfolio_id,company_id,asset_type,ald_sector,ald_business_unit,ald_location,exposure_value_usd,expiration_date,loss_given_default,pd_portfolio
portfolio_A,60,fixed_income,Power,RenewablesCap,SX,11912306,2023-09-01,0.7680689349470458,NA
portfolio_A,60,fixed_income,Power,RenewablesCap,PW,11912306,2023-09-01,0.4781335675616014,NA
portfolio_A,30,fixed_income,Automotive,FuelCell,GT,90749059,2029-08-01,0.5932406472850014,NA
portfolio_A,26,fixed_income,Oil&Gas,Oil,TD,62001700,2027-04-01,0.697833073255974,NA
portfolio_A,26,fixed_income,Oil&Gas,Oil,GS,62001700,2027-04-01,0.6384532984176975,NA
portfolio_A,69,fixed_income,Power,GasCap,GT,55158147,2028-05-01,0.4202604197948215,NA
portfolio_A,31,fixed_income,Coal,Coal,GT,77463234,2029-06-01,0.18055588238080297,NA
portfolio_A,88,fixed_income,Power,GasCap,GT,30066797,2023-09-01,0.5189002216279507,NA
portfolio_A,75,fixed_income,Power,GasCap,SK,34781149,2028-01-01,0.7659149220381043,NA
portfolio_A,75,fixed_income,Power,GasCap,OM,34781149,2028-01-01,0.5520045994233433,NA
portfolio_A,75,fixed_income,Power,GasCap,LS,34781149,2028-01-01,0.36127600675625177,NA
portfolio_A,75,fixed_income,Power,GasCap,MT,34781149,2028-01-01,0.2940312679570044,NA
portfolio_A,75,fixed_income,Power,GasCap,TV,34781149,2028-01-01,0.0033581885515801173,NA
portfolio_A,75,fixed_income,Power,GasCap,VG,34781149,2028-01-01,0.4510868233182973,NA
portfolio_A,75,fixed_income,Power,GasCap,AL,34781149,2028-01-01,0.6802194064271686,NA
portfolio_A,75,fixed_income,Power,GasCap,NE,34781149,2028-01-01,0.8654485027373001,NA
portfolio_A,35,fixed_income,Power,OilCap,DM,87861996,2028-10-01,0.9338173115624144,NA
portfolio_A,35,fixed_income,Power,OilCap,BQ,87861996,2028-10-01,0.4763609941112002,NA
portfolio_A,10,fixed_income,Automotive,ICE,GT,81387439,2025-02-01,0.21232014962290235,NA
portfolio_A,92,fixed_income,Power,CoalCap,LS,55716906,2026-04-01,0.7584231334448087,NA
portfolio_A,92,fixed_income,Power,CoalCap,ML,55716906,2026-04-01,0.13163490242957904,NA
portfolio_A,66,fixed_income,Power,CoalCap,GT,69521965,2025-11-01,0.908595838260407,NA
portfolio_A,16,fixed_income,Power,NuclearCap,GT,43176483,2024-03-01,0.038067787882821044,NA
portfolio_A,39,fixed_income,Oil&Gas,Oil,LR,15084041,2026-07-01,0.8838794044267562,NA
portfolio_A,39,fixed_income,Oil&Gas,Oil,BT,15084041,2026-07-01,0.7071797320846297,NA
portfolio_A,100,fixed_income,Power,HydroCap,GT,25957716,2028-11-01,0.8722195673328669,NA
portfolio_A,19,fixed_income,Automotive,Electric,IL,13171726,2029-10-01,0.1739476329946979,NA
portfolio_A,19,fixed_income,Automotive,Electric,FJ,13171726,2029-10-01,0.11921953292390763,NA
portfolio_A,41,fixed_income,Automotive,Hybrid,GT,20631278,2025-06-01,0.0200022261113902,NA
portfolio_A,54,fixed_income,Automotive,ICE,GT,72980454,2028-06-01,0.731068041801258,NA
portfolio_A,64,fixed_income,Power,HydroCap,ME,56478470,2023-01-01,0.08588375057257697,NA
portfolio_A,56,fixed_income,Power,HydroCap,IT,79363553,2023-04-01,0.22282006310011201,NA
portfolio_A,86,fixed_income,Power,HydroCap,MZ,71635469,2029-11-01,0.6783607894810912,NA
portfolio_A,86,fixed_income,Power,HydroCap,SN,71635469,2029-11-01,0.13872656480970713,NA
portfolio_A,31,fixed_income,Oil&Gas,Oil,GT,17079263,2027-01-01,0.2521867700607745,NA
portfolio_A,9,fixed_income,Oil&Gas,Oil,GT,58396674,2025-04-01,0.559182664324,NA
